proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1746921069,217.160.139.134,53174,216.238.92.208,5060,41.126074,3,14,2206,7888,389,365,1045,834,735.333313,563.428589,329.533513,93.375764,0.164408,41.12584,0.000171,0.00135,0.164237,9.458986,0.082204,3.163526,0.116012,2.527346,0,0,0,0,2104,7412,0.072946,0.340417,245.440399,593.764706,158.812195,2.570394,2.5954,0,0,0,0,0,0,0,3.575703,1,1
UDP,1746921080,51.159.93.41,55261,216.238.92.208,5060,0.774689,6,6,3624,3138,389,522,648,524,604,523,105.333755,1.095445,0.77421,0.774528,0.148185,0.148226,0.164274,0.164288,0.154842,0.154906,0.006874,0.006787,0,0,0,0,3420,2934,7.745044,7.745044,8728.664062,563.5,82.663063,0.070565,0.080807,0,0,0,0,0,0,0,0.865894,1,1
UDP,1746921100,51.159.93.41,55669,216.238.92.208,5060,0.464873,4,4,2330,2090,388,520,648,524,582.5,522.5,129.667524,1.914854,0.464598,0.464591,0.151908,0.151796,0.156682,0.156673,0.154866,0.154864,0.002584,0.002671,0,0,0,0,2194,1954,8.604499,8.604499,9507.97168,552.5,90.752411,0.066516,0.082658,0,0,0,0,0,0,0,0.896996,1,1
UDP,1746921102,207.154.234.51,59320,216.238.92.208,5060,0.900253,12,6,8509,3184,371,528,1091,532,709.083313,530.666687,358.510164,1.632993,0.900253,0.744834,0.000158,0.13687,0.159511,0.159854,0.081841,0.148967,0.078394,0.009072,0,0,0,0,8101,2980,13.329585,6.664793,12988.57031,649.611111,301.092926,0.053046,0.073866,0,0,0,0,0,0,0,0.374192,1,1
UDP,1746921120,51.159.93.41,56783,216.238.92.208,5060,0.744939,6,6,3651,3152,392,524,652,526,608.5,525.333313,106.06366,1.032796,0.744563,0.744764,0.137161,0.137192,0.163925,0.164016,0.148913,0.148953,0.010819,0.010847,0,0,0,0,3447,2948,8.05435,8.05435,9132.290039,566.916667,83.667587,0.067834,0.077928,0,0,0,0,0,0,0,0.863325,1,1
UDP,1746921140,51.159.93.41,57746,216.238.92.208,5060,0.46626,4,4,2331,2096,390,523,648,525,582.75,524,128.507782,1.154701,0.465986,0.466012,0.154225,0.15423,0.156072,0.156457,0.155329,0.155337,0.000975,0.001113,0,0,0,0,2195,1960,8.578905,8.578905,9494.703125,553.375,89.80127,0.066771,0.08284,0,0,0,0,0,0,0,0.899185,1,1
UDP,1746921161,51.159.93.41,59439,216.238.92.208,5060,0.776035,6,6,3648,3148,392,522,652,526,608,524.666687,105.822493,1.632993,0.775467,0.775855,0.151826,0.151911,0.156569,0.156817,0.155093,0.155171,0.001892,0.001905,0,0,0,0,3444,2944,7.731609,7.731609,8757.335938,566.333333,83.578308,0.07069,0.080819,0,0,0,0,0,0,0,0.862939,1,1
UDP,1746921182,51.159.93.41,61116,216.238.92.208,5060,0.773733,6,6,3627,3142,390,522,648,524,604.5,523.666687,105.084252,0.816497,0.773134,0.772978,0.149859,0.149527,0.156495,0.156677,0.154627,0.154596,0.002695,0.002874,0,0,0,0,3423,2938,7.754611,7.754611,8748.494141,564.083333,82.472534,0.070599,0.080469,0,0,0,0,0,0,0,0.866281,1,1
UDP,1746921195,207.154.234.51,50716,216.238.92.208,5060,0.916711,12,6,8507,3182,371,528,1092,532,708.916687,530.333313,358.750218,1.505545,0.916711,0.767778,0.000097,0.144162,0.160927,0.161337,0.083337,0.153556,0.079804,0.008643,0,0,0,0,8099,2978,13.090278,6.545139,12751.02148,649.388889,301.300934,0.054112,0.075128,0,0,0,0,0,0,0,0.374045,1,1
UDP,1746921204,51.159.93.41,63052,216.238.92.208,5060,0.780058,6,6,3589,3114,385,518,642,520,598.166687,519,104.436423,1.095445,0.779579,0.779454,0.152567,0.152489,0.159842,0.159776,0.155916,0.155891,0.002796,0.002801,0,0,0,0,3385,2910,7.691734,7.691734,8592.949219,558.583333,81.654991,0.071161,0.081166,0,0,0,0,0,0,0,0.867651,1,1
UDP,1746921224,51.159.93.41,63475,216.238.92.208,5060,0.781071,6,6,3626,3140,389,522,648,524,604.333313,523.333313,105.492497,1.032796,0.78037,0.780681,0.155645,0.155721,0.156905,0.157137,0.156074,0.156136,0.000489,0.000571,0,0,0,0,3422,2936,7.681761,7.681761,8662.464844,563.833333,82.754654,0.071176,0.081284,0,0,0,0,0,0,0,0.865968,1,1
UDP,1746921246,51.159.93.41,65264,216.238.92.208,5060,0.780284,6,6,3601,3114,386,518,644,520,600.166687,519,104.923624,1.095445,0.779753,0.779647,0.152406,0.152542,0.160096,0.159896,0.155951,0.155929,0.00275,0.002647,0,0,0,0,3397,2910,7.689506,7.689506,8605.838867,559.583333,82.470329,0.071174,0.081187,0,0,0,0,0,0,0,0.86476,1,1
UDP,1746921266,51.159.93.41,50227,216.238.92.208,5060,0.766514,6,6,3647,3146,393,524,651,526,607.833313,524.333313,105.247169,0.816497,0.765901,0.765963,0.147622,0.147537,0.166856,0.166944,0.15318,0.153193,0.008212,0.008239,0,0,0,0,3443,2942,7.827645,7.827645,8862.199219,566.083333,83.287514,0.069899,0.079905,0,0,0,0,0,0,0,0.862627,1,1
UDP,1746921269,217.160.139.134,54938,216.238.92.208,5060,41.161572,3,14,2208,7912,389,366,1047,835,736,565.142883,330.473902,93.356932,0.152122,41.161058,0.000057,0.00115,0.152065,9.459442,0.076061,3.166235,0.107486,2.530035,0,0,0,0,2106,7436,0.072884,0.340123,245.860382,595.294118,158.872894,2.57263,2.597995,0,0,0,0,0,0,0,3.583333,1,1
UDP,1746921285,51.159.93.41,49949,216.238.92.208,5060,0.778013,6,6,3619,3134,389,521,647,523,603.166687,522.333313,104.923624,1.032796,0.777455,0.777557,0.153336,0.153373,0.157146,0.15724,0.155491,0.155511,0.001419,0.001421,0,0,0,0,3415,2930,7.711954,7.711954,8679.803711,562.75,82.38063,0.070984,0.080915,0,0,0,0,0,0,0,0.865985,1,1
UDP,1746921286,5.196.203.196,56103,216.238.92.208,5060,0.00055,1,1,666,543,666,543,666,543,666,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,509,1818.077148,1818.077148,2198055.25,604.5,86.974136,0.00055,0,0,0,0,0,0,0,0,0.815315,1,1
UDP,1746921291,207.154.234.51,50229,216.238.92.208,5060,0.917105,12,6,8562,3210,377,534,1096,536,713.5,535,358.629335,1.095445,0.917105,0.777173,0.000125,0.151093,0.162381,0.162468,0.083373,0.155435,0.079769,0.004811,0,0,0,0,8154,3006,13.084653,6.542326,12836.04395,654,301.195648,0.054144,0.075107,0,0,0,0,0,0,0,0.374912,1,1
UDP,1746921305,103.176.90.16,40188,216.238.92.208,5060,0.000471,1,1,477,638,477,638,477,638,477,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,604,2122.623535,2122.623535,2366725.25,557.5,113.844193,0.000471,0,0,0,0,0,0,0,0,1.337526,1,1
UDP,1746921305,51.159.93.41,50289,216.238.92.208,5060,0.764464,6,6,3613,3130,388,520,646,522,602.166687,521.666687,104.921718,0.816497,0.764227,0.764034,0.141814,0.1418,0.156687,0.156532,0.152845,0.152807,0.00622,0.006196,0,0,0,0,3409,2926,7.848635,7.848635,8820.557617,561.916667,82.28936,0.069731,0.079673,0,0,0,0,0,0,0,0.866316,1,1
UDP,1746921305,103.176.90.16,11356,216.238.92.208,5060,149.800447,7564,7564,4559004,4147476,382,517,622,567,602.723938,548.31781,15.266176,4.532253,149.800201,149.80013,0,0.00007,0.576043,0.576002,0.019807,0.019807,0.035803,0.035829,0,0,0,0,4301828,3890300,50.493843,50.493843,58120.51953,575.520888,29.442251,0.010054,0.027129,0,0,0,0,0,0,0,0.909733,1,1
UDP,1746921311,216.244.87.82,53758,216.238.92.208,5060,0.784764,11,6,7917,3216,385,535,1045,537,719.727295,536,329.407071,1.095445,0.784504,0.784595,0.00034,0.093522,0.331631,0.331923,0.07845,0.156919,0.10535,0.098888,0,0,0,0,7543,3012,14.016952,7.64561,14186.42969,654.882353,275.697723,0.04912,0.090491,0,0,0,0,0,0,0,0.406214,1,1
