proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1746381993,5.39.20.184,65172,216.238.92.208,5060,1.327056,6,6,3634,3136,390,521,649,523,605.666687,522.666687,105.655416,0.816497,1.326815,1.326663,0.148863,0.148606,0.6984,0.698463,0.265363,0.265333,0.24219,0.242244,0,0,0,0,3430,2932,4.521286,4.521286,5101.51709,564.166667,83.386108,0.120865,0.206403,0,0,0,0,0,0,0,0.862961,1,1
UDP,1746382017,5.39.20.184,62448,216.238.92.208,5060,0.780861,6,6,3637,3140,390,522,650,524,606.166687,523.333313,105.900739,1.032796,0.78047,0.78047,0.155486,0.155527,0.156539,0.156556,0.156094,0.156094,0.00039,0.000395,0,0,0,0,3433,2936,7.683827,7.683827,8678.882812,564.75,83.483398,0.071165,0.081314,0,0,0,0,0,0,0,0.863349,1,1
UDP,1746382042,5.39.20.184,59625,216.238.92.208,5060,0.77982,6,6,3620,3124,388,519,647,521,603.333313,520.666687,105.492497,0.816497,0.779099,0.779418,0.154584,0.154512,0.158739,0.158816,0.15582,0.155884,0.001662,0.001705,0,0,0,0,3416,2920,7.694084,7.694084,8648.150391,562,83.201836,0.071055,0.081163,0,0,0,0,0,0,0,0.862983,1,1
UDP,1746382065,5.39.20.184,56318,216.238.92.208,5060,0.797453,6,6,3617,3122,388,519,647,521,602.833313,520.333313,105.249069,1.032796,0.796866,0.796936,0.153229,0.153389,0.175717,0.175716,0.159373,0.159387,0.009248,0.009228,0,0,0,0,3413,2918,7.523955,7.523955,8450.655273,561.583333,83.017471,0.072701,0.083188,0,0,0,0,0,0,0,0.863146,1,1
UDP,1746382090,5.39.20.184,53480,216.238.92.208,5060,0.827727,6,6,3634,3132,390,520,650,524,605.666687,522,105.657309,1.264911,0.827318,0.827193,0.155298,0.155269,0.202784,0.202734,0.165464,0.165439,0.02087,0.020856,0,0,0,0,3430,2928,7.248766,7.248766,8174.191895,563.833333,83.571236,0.075466,0.087172,0,0,0,0,0,0,0,0.86186,1,1
UDP,1746382113,5.39.20.184,50606,216.238.92.208,5060,0.778558,6,6,3623,3124,388,519,648,523,603.833313,520.666687,105.738199,1.505545,0.778143,0.778139,0.149638,0.149595,0.163329,0.163498,0.155629,0.155628,0.005036,0.005114,0,0,0,0,3419,2920,7.706555,7.706555,8666.020508,562.25,83.483398,0.070952,0.081134,0,0,0,0,0,0,0,0.862269,1,1
UDP,1746382137,5.39.20.184,63724,216.238.92.208,5060,0.779779,6,6,3617,3128,388,519,647,523,602.833313,521.333313,105.249069,1.505545,0.779401,0.779316,0.155379,0.155264,0.156584,0.15648,0.15588,0.155863,0.00049,0.000435,0,0,0,0,3413,2924,7.694488,7.694488,8649.886719,562.083333,82.750946,0.071176,0.081099,0,0,0,0,0,0,0,0.864805,1,1
UDP,1746382162,5.39.20.184,61208,216.238.92.208,5060,0.985334,6,6,3629,3132,390,521,648,523,604.833313,522,105.247169,1.095445,0.984852,0.984836,0.143576,0.143617,0.359672,0.359663,0.19697,0.196967,0.091434,0.09143,0,0,0,0,3425,2928,6.089306,6.089306,6861.633301,563.416667,83.107224,0.08978,0.117798,0,0,0,0,0,0,0,0.863048,1,1
UDP,1746382186,5.39.20.184,57970,216.238.92.208,5060,0.780112,6,6,3622,3124,388,519,647,521,603.666687,520.666687,105.655416,0.816497,0.779469,0.779691,0.154918,0.155151,0.156663,0.156491,0.155894,0.155938,0.000702,0.000565,0,0,0,0,3418,2920,7.691203,7.691203,8647.475586,562.166667,83.386108,0.071159,0.081129,0,0,0,0,0,0,0,0.862507,1,1
UDP,1746382209,5.39.20.184,54723,216.238.92.208,5060,0.78091,6,6,3613,3114,385,515,647,521,602.166687,519,106.392514,2.19089,0.780491,0.780473,0.154243,0.154288,0.157682,0.15771,0.156098,0.156095,0.001629,0.00161,0,0,0,0,3409,2910,7.683343,7.683343,8614.308594,560.583333,83.867271,0.071197,0.081293,0,0,0,0,0,0,0,0.861888,1,1
